Case Study Title,Case Study Description
,"The case centres on the dilemma faced by Sampath Kumar, Principal Secretary of Health in the northeastern state of Meghalaya, as he"
,"strives to reduce the high maternal and infant mortality rates in the region. To address the issue, Kumar implemented a variety of measures,"
,"including the use of data and technology for real-time monitoring of high-risk pregnancies, centralising decision-making at the frontline"
Addressing Maternal and Infant,
,"worker level, enhancing communication between citizens and the state, fostering cross-functional problem-solving among government"
Mortality in Meghalaya by Building,
,"departments, building political support, and addressing systemic gaps."
State Capability,
,"These efforts resulted in significant progress. However, to fully resolve the challenge, Kumar also needed to address broader societal issues,"
,such as teenage pregnancies and the lack of family planning.
,The case centers on a scheme to expand access to primary health care services under the Indian central government’s flagship Ayushman
,"Bharat program, a national public health insurance initiative. The scheme aimed to establish 1.5 lakh Health and Wellness Centers across"
,"India to provide free and universal comprehensive primary health care. These centers would offer a wide range of services, including health"
,"and wellness services, maternal and child health services, treatment for non-communicable diseases, palliative and rehabilitative care, oral,"
Ayushman Bharat - Healthy India for,"eye, ENT, mental health, elderly care, and emergency and trauma care."
Universal Health Coverage,
,The program manager encountered several challenges in implementing this ambitious project. Key obstacles included obtaining approval to
,"recruit a new cadre of officers, namely Community Health Officers, to serve in these centers. Additionally, there were significant efforts"
,"required in capacity building and training these officers and other primary health service personnel, as well as monitoring the performance"
,and effectiveness of these centers.
,"This case focuses on JEEViKA, Bihar’s Rural Livelihoods Promotion Society, an initiative aimed at organizing economically marginalized"
,women in the state into self-help groups. These groups empower women to seek employment opportunities and access funding. One
Jeevika – Didi Ki Rasoi,"notable program conceptualized under JEEViKA is the “Didi ki Rasoi” initiative. Through this program, local women establish institutional"
,"canteens at state hospitals, schools, and other community centers to provide fresh, home-cooked healthy meals. This initiative addresses"
,the issue of poor food quality in these institutions while simultaneously generating employment and income for the women involved.
,"The case revolves around Dr. Shahid Iqbal Choudhary, an IAS Officer in Jammu and Kashmir, who faces the challenge of high youth"
,"unemployment and disenfranchisement in the state. In response, Dr. Shahid launched the Mission Youth initiative in March 2021 with the"
Mission Youth: A Journey to,
,"goal of transforming the state's youth into ambassadors of peace, prosperity, and development. This initiative included a series of"
Empowerment,
,"interventions aimed at improving employment, empowerment, and engagement among the youth, securing Rs. 200 crores in state funds for"
,"the program. The program was a resounding success, resulting in a significant increase in job creation and youth engagement."
,"The case is situated in Wayanad, a Northern district in the state of Kerala, where the scheduled tribe (ST) community comprises a high share"
,"of the local population, yet is economically marginalised. The local officer in charge, Mr. Nair, comes up with an innovative way to generate"
En Uru – The Tribal Heritage Village of,
,income for the state while also uplifting the members of the local tribal community. He comes up with the idea of setting up En Uru – a
Wayanad,
,model heritage village – a tourist site in which tribes can be employed while generating revenues for themselves and the district. He puts in
,place training programs to ensure that ST members are able to contribute to the project.
,The Rewa Solar Project (RUMSL) case offers an authoritative example of public-private partnerships in India and helps discern how risk can
,"be mitigated to ensure the success of a PPP model. An innovation by IAS Manu Srivastava, Rewa was financed in a way to ensure that the"
Risk mitigation in public infrastructure,"project did not rely on viable gap funding (VGF), offered by the Government of India while attracting procurers. RUMSL was commissioned"
projects: The case of Rewa Solar Power,"on January 3, 2020, and was formally dedicated to the nation by Prime Minister, Mr Narendra Modi, on July 10, 2020. However, right from"
Plant,"the beginning, Manu Srivastava faced a spectrum of challenges such as identifying donors, maintaining an attractive tariff rate without VGF,"
,"acquiring land, and identifying procurers. By studying these challenges and the solutions adopted by Manu Srivastava, learners can learn the"
,innovative ways through which risk can be mitigated in a large project such as RUMSL.
,The Madhya Pradesh solar rooftop installation case is a good example to illustrate how to make a project an attractive proposition for key
,"stakeholders. The case can help us understand how de-risking a project, addressing information asymmetry, mitigating risks, and ensuring"
Mainstreaming renewable energy: The,transparency in the project cycle drives increased and informed participation.The case unfolds against the challenge of increasing solar
case of Rewa Solar Rooftop Installation,"rooftop installations to meet the state’s solar energy production targets under the National Solar Mission. Mr Manu Srivastava, head of"
Project,"Madhya Pradesh Urja Vikas Nigam Limited, is tasked with resolving the puzzle of why uptake is low despite incentives offered by the"
,"government. Through addressing key stakeholder concerns, efficient project structuring, and process innovations in a market-based"
,"financing model, the climate agenda is taken forward."
,The development and implementation of Rail Divyang Saarthi application by the Ahmedabad Division of Western Railways is a good case to
